FID,GRIDCODE,subbasin,Area_ha,Lat_1,Long_1
0,1,1,4318.721679,39.86763687,-88.01448586
1,2,2,6839.489349,39.09823035,-87.70482447
2,3,3,7003.36625,38.9702568,-87.65172972
3,4,4,11780.95514,39.03240293,-87.67533997
4,5,5,6969.422343,40.04667916,-88.23128146
5,6,6,8215.637923,39.39810397,-87.75811842
6,7,7,14179.19477,39.94466532,-88.09501754
7,8,8,7036.027551,39.52432366,-87.64959169
8,9,9,8417.50996,39.33324734,-87.77029536
9,10,10,8641.373062,39.25914783,-87.71557222
10,11,11,2256.874913,39.29477253,-87.67442929
11,12,12,11008.20864,39.1853898,-87.73151601
12,13,13,4678.920579,39.37751112,-87.6341276
13,14,14,5370.683597,39.45370699,-87.82506753
14,15,15,5438.211985,40.22841204,-85.24482716
15,16,16,10512.42595,39.91582879,-88.21190804
16,17,17,5047.965519,40.42833695,-85.48612388
17,18,18,5363.802959,40.41057438,-85.58174519
18,19,19,5271.51294,40.34229845,-85.38667961
19,20,20,4889.973017,40.43340831,-85.64669186
20,21,21,4239.380177,40.49994965,-85.42303003
21,22,22,4338.819785,40.37086716,-85.51567639
22,23,23,6611.88308,39.87967783,-88.09911934
23,24,24,6849.779607,39.81711794,-88.16776656
24,25,25,4565.975073,39.84542019,-88.28328691
25,26,26,6951.818936,39.87339434,-88.25342664
26,27,27,10430.52948,40.32308968,-85.28188041
27,28,28,5596.31281,40.31908025,-85.43265097
28,29,29,8639.557474,39.71498788,-88.28748519
29,30,30,8117.504617,39.77575797,-88.26999407
30,31,31,3880.059189,40.64739141,-85.6756307
31,32,32,7831.469746,40.65027664,-85.7394941
32,33,33,8551.294765,39.83786335,-87.9217475
33,34,34,7445.123399,39.79719643,-87.84153299
34,35,35,4981.01308,39.76575537,-87.90453414
35,36,36,5119.629447,39.7905745,-88.09302043
36,37,37,4997.207007,40.4738053,-85.6995119
37,38,38,5806.338948,40.66546813,-85.81753421
38,39,39,6030.06709,40.49859503,-85.54359751
39,40,40,6718.76277,40.39944048,-85.71083108
40,41,41,7713.047321,40.54983873,-85.54681862
41,42,42,5923.646573,40.47125215,-85.57173676
42,43,43,5518.096311,40.55351519,-85.65637241
43,44,44,8443.011659,40.61412737,-85.66267023
44,45,45,7708.587815,38.10060159,-87.9640863
45,46,46,6644.809333,40.68326524,-85.90787634
46,47,47,7122.993032,38.06705119,-88.01882909
47,48,48,3970.752588,38.02400138,-88.06197123
48,49,49,6267.413439,37.95738693,-87.99079353
49,50,50,6722.051846,37.90954339,-88.03648187
50,51,51,5742.76805,37.86308079,-88.0219055
51,52,52,12039.78761,37.84186031,-88.10697309
52,53,53,7792.446863,39.44996111,-87.69547332
53,54,54,9075.096646,39.07883345,-87.80963811
54,55,55,5579.227889,38.9336555,-87.92729945
55,56,56,8774.27281,39.2470958,-87.84989278
56,57,57,9810.081493,39.15241113,-87.84539111
57,58,58,6414.204238,39.10835608,-87.9199641
58,59,59,4758.502631,39.05676473,-87.9686142
59,60,60,10598.21333,39.00585677,-87.99581929
60,61,61,5529.238904,39.03202332,-87.87895644
61,62,62,4153.129134,38.96570669,-87.82059543
62,63,63,4598.987183,41.05347069,-85.66027552
63,64,64,4823.616756,41.07042105,-85.73988318
64,65,65,5338.124077,41.01592808,-85.70014914
65,66,66,8478.256435,40.96803366,-85.68159537
66,67,67,4022.537659,41.03675182,-85.78579887
67,68,68,8155.050528,41.03521521,-85.91717771
68,69,69,5298.767842,40.99411692,-85.84310836
69,70,70,4225.723554,41.19355146,-85.57110872
70,71,71,8003.13081,41.05432384,-85.525084
71,72,72,9021.762601,41.1058215,-85.51103837
72,73,73,5297.789985,41.10422678,-85.69159763
73,74,74,4854.721698,41.04346057,-85.83738689
74,75,75,7681.735076,39.36168801,-88.09256512
75,76,76,7870.328753,39.21520629,-88.39388812
76,77,77,10203.60437,39.30063546,-88.22753375
77,78,78,4547.823136,39.13783794,-88.32560027
78,79,79,8270.668723,39.21629548,-88.29937073
79,80,80,7636.175583,39.52204686,-88.00578835
80,81,81,12710.75712,39.46026286,-88.14364503
81,82,82,7185.126297,39.41792145,-88.04464202
82,83,83,4441.286613,39.30907939,-88.08607133
83,84,84,13417.14107,39.3002205,-88.17151281
84,85,85,7315.946517,41.13615543,-85.62228552
85,86,86,9044.433027,39.2899996,-88.03816112
86,87,87,5655.500204,39.20058561,-88.14439917
87,88,88,7109.062935,40.14049294,-87.4920123
88,89,89,4542.127543,39.8621813,-87.52106248
89,90,90,7433.84646,39.91665686,-87.55958661
90,91,91,4104.980741,40.36039101,-87.52546442
91,92,92,3600.255212,40.33289255,-87.57131491
92,93,93,8215.45221,40.51476261,-87.46861507
93,94,94,8015.546453,40.48006922,-87.59432798
94,95,95,4569.276119,40.27318774,-87.52998329
95,96,96,8925.657382,39.30023702,-87.90092665
96,97,97,8203.338322,39.59461273,-87.94828929
